96_well,well,pen,pig,day,substrate
H8,78,,392,2,adglu
H11,79,,355,2,adglu
H12,80,,93,2,adglu
A9,81,,461,0,adglu
B9,82,,50,0,adglu
C9,83,,361,0,adglu
D9,84,,450,0,adglu
E9,85,,26,0,adglu
F9,86,,450,2,adglu
G9,87,,348,2,adglu
H9,88,,97,2,adglu
,89,,,,adglu
,90,,,,adglu
A10,91,,453,0,adglu
B10,92,,240,0,adglu
C10,93,,419,0,adglu
D10,94,,97,0,adglu
E10,95,,472,0,adglu
F10,96,,265,2,adglu
G10,97,,152,2,adglu
H10,98,,50,2,adglu
,99,,,,adglu
,100,,,,adglu
A1,101,,265,0,bdmalt
B1,102,,138,0,bdmalt
C1,103,,141,0,bdmalt
D1,104,,191,0,bdmalt
E1,105,,458,0,bdmalt
F1,106,,74,2,bdmalt
G1,107,,326,2,bdmalt
H1,108,,52,2,bdmalt
A11,109,,126,0,bdmalt
A12,110,,119,0,bdmalt
A2,111,,178,0,bdmalt
B2,112,,295,0,bdmalt
C2,113,,122,0,bdmalt
D2,114,,392,0,bdmalt
E2,115,,52,0,bdmalt
F2,116,,458,2,bdmalt
G2,117,,422,2,bdmalt
H2,118,,26,2,bdmalt
B11,119,,469,0,bdmalt
B12,120,,348,0,bdmalt
A3,121,,253,0,bdmalt
B3,122,,228,0,bdmalt
C3,123,,422,0,bdmalt
D3,124,,373,0,bdmalt
E3,125,,337,0,bdmalt
F3,126,,419,2,bdmalt
G3,127,,160,2,bdmalt
H3,128,,178,2,bdmalt
C11,129,,198,0,bdmalt
C12,130,,6,0,bdmalt
A4,131,,426,0,bdmalt
B4,132,,175,0,bdmalt
C4,133,,355,0,bdmalt
D4,134,,321,0,bdmalt
E4,135,,93,0,bdmalt
F4,136,,345,2,bdmalt
G4,137,,122,2,bdmalt
H4,138,,321,2,bdmalt
D11,139,,101,0,bdmalt
D12,140,,219,0,bdmalt
A5,141,,22,0,bdmalt
B5,142,,397,0,bdmalt
C5,143,,160,0,bdmalt
D5,144,,181,0,bdmalt
E5,145,,224,0,bdmalt
F5,146,,337,2,bdmalt
G5,147,,87,2,bdmalt
H5,148,,244,2,bdmalt
E11,149,,219,2,bdmalt
E12,150,,83,2,bdmalt
A6,151,,43,0,bdmalt
B6,152,,326,0,bdmalt
C6,153,,141,0,bdmalt
D6,154,,378,0,bdmalt
E6,155,,74,0,bdmalt
F6,156,,224,2,bdmalt
G6,157,,77,2,bdmalt
H6,158,,373,2,bdmalt
F11,159,,472,2,bdmalt
F12,160,,295,2,bdmalt
A7,161,,65,0,bdmalt
B7,162,,226,0,bdmalt
C7,163,,87,0,bdmalt
D7,164,,244,0,bdmalt
E7,165,,83,0,bdmalt
F7,166,,191,2,bdmalt
G7,167,,426,2,bdmalt
H7,168,,101,2,bdmalt
G11,169,,378,2,bdmalt
G12,170,,211,2,bdmalt
A8,171,,152,0,bdmalt
B8,172,,144,0,bdmalt
C8,173,,432,0,bdmalt
D8,174,,211,0,bdmalt
E8,175,,237,0,bdmalt
F8,176,,432,2,bdmalt
G8,177,,361,2,bdmalt
H8,178,,392,2,bdmalt
H11,179,,355,2,bdmalt
H12,180,,93,2,bdmalt
A9,181,,461,0,bdmalt
B9,182,,50,0,bdmalt
C9,183,,361,0,bdmalt
D9,184,,450,0,bdmalt
E9,185,,26,0,bdmalt
F9,186,,450,2,bdmalt
G9,187,,348,2,bdmalt
H9,188,,97,2,bdmalt
,189,,,,bdmalt
,190,,,,bdmalt
A10,191,,453,0,bdmalt
B10,192,,240,0,bdmalt
C10,193,,419,0,bdmalt
D10,194,,97,0,bdmalt
E10,195,,472,0,bdmalt
F10,196,,265,2,bdmalt
G10,197,,152,2,bdmalt
H10,198,,50,2,bdmalt
,199,,,,bdmalt
,200,,,,bdmalt
