pignum,sample_ID,Gender,weight_9_12,weight_10_9,weight,AULC,experiment,day,tissue,num_seqs,treatment,set,log_sal,nurse_gain,pen,pig_day_tissue,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,lactate
138,X12bP138D7F,M,6.75,12.2,NA,33.9794000867204,X12b,D7,F,23290,RCS,X12b_D7_F_RCS,1.69897000433602,5.449999999999999,28,138_D7_F,70.00467,27.28161,2.87025,13.74081,2.81616,7.0759799999999995,2.84314,0.38805,0.8903099999999999,2.3780400000000004,13.32678
141,X12bP141D0F,NA,5.4,11.8,NA,38.36153958343914,X12b,D0,F,19359,Bglu,X12b_D0_F_Bglu,0,6.4,29,141_D0_F,64.53024,23.18586,2.45592,14.77647,2.1093900000000003,3.94764,0.23425,0,0.60171,3.2397,8.14986
141,X12bP141D0Q,NA,5.4,11.8,NA,38.36153958343914,X12b,D0,Q,19883,Bglu,X12b_D0_Q_Bglu,0,6.4,29,141_D0_Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,X12bP141D14F,NA,5.4,11.8,NA,38.36153958343914,X12b,D14,F,20190,Bglu,X12b_D14_F_Bglu,1.69897000433602,6.4,29,141_D14_F,68.27850000000001,25.65972,4.2927,20.194679999999998,6.270809999999999,5.48367,2.00134,0,1.6794900000000001,0.89883,2.29494
141,X12bP141D21C,NA,5.4,11.8,NA,38.36153958343914,X12b,D21,C,28397,Bglu,X12b_D21_C_Bglu,0,6.4,29,141_D21_C,73.82267999999999,38.06802,0.40752,16.06035,0.38994000000000006,2.11698,0.51996,0.22446,0.23498999999999998,0.77847,0
141,X12bP141D21F,NA,5.4,11.8,NA,38.36153958343914,X12b,D21,F,24071,Bglu,X12b_D21_F_Bglu,0,6.4,29,141_D21_F,74.43627000000001,23.42088,3.1400699999999997,15.70797,4.2325800000000005,4.11885,0.5989,0,1.14999,2.26173,12.50919
141,X12bP141D2F,NA,5.4,11.8,NA,38.36153958343914,X12b,D2,F,31433,Bglu,X12b_D2_F_Bglu,2.74036268949424,6.4,29,141_D2_F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,X12bP141D7F,NA,5.4,11.8,NA,38.36153958343914,X12b,D7,F,29551,Bglu,X12b_D7_F_Bglu,2.81291335664286,6.4,29,141_D7_F,61.42698,32.43213,1.41141,6.30762,0.9219599999999999,4.5172799999999995,0.13117000000000006,0,0.36783,2.70654,4.34043
144,X12bP144D0F,M,7.75,15.5,NA,31.679033828565835,X12b,D0,F,18272,Bglu,X12b_D0_F_Bglu,0,7.75,29,144_D0_F,72.94407000000001,28.442370000000004,4.63389,17.66523,6.63411,4.8807599999999995,1.6580500000000002,0,1.72542,1.18029,0.99765
144,X12bP144D0Q,M,7.75,15.5,NA,31.679033828565835,X12b,D0,Q,18285,Bglu,X12b_D0_Q_Bglu,0,7.75,29,144_D0_Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,X12bP144D14F,M,7.75,15.5,NA,31.679033828565835,X12b,D14,F,27561,Bglu,X12b_D14_F_Bglu,1.69897000433602,7.75,29,144_D14_F,140.1882,56.537549999999996,4.98798,25.17678,7.83489,8.376389999999999,1.70443,0,2.2763400000000003,2.54787,0.29715
144,X12bP144D21C,M,7.75,15.5,NA,31.679033828565835,X12b,D21,C,24674,Bglu,X12b_D21_C_Bglu,3.23552844690755,7.75,29,144_D21_C,92.13618,42.231660000000005,0.57768,16.885289999999998,0.63153,2.41554,0.52056,0.34689,0.2214,0.4719,1.77687
144,X12bP144D21F,M,7.75,15.5,NA,31.679033828565835,X12b,D21,F,24688,Bglu,X12b_D21_F_Bglu,1.69897000433602,7.75,29,144_D21_F,78.11970000000001,28.37205,3.0050399999999997,20.46276,4.99308,5.105460000000001,1.0373800000000002,0.23853,1.63452,1.61724,2.18433
144,X12bP144D2F,M,7.75,15.5,NA,31.679033828565835,X12b,D2,F,23615,Bglu,X12b_D2_F_Bglu,3.95424250943932,7.75,29,144_D2_F,83.52579000000001,30.0084,4.25106,25.96443,7.09914,5.52327,2.00983,0,2.22804,1.53402,1.02597
144,X12bP144D7F,M,7.75,15.5,NA,31.679033828565835,X12b,D7,F,21140,Bglu,X12b_D7_F_Bglu,0,7.75,29,144_D7_F,101.92338000000002,38.96214,6.7953600000000005,22.90473,11.00844,10.34433,2.55022,0,2.8278299999999996,2.2471200000000002,2.97009
152,X12bP152D0F,F,6.35,14.8,NA,48.55017845530783,X12b,D0,F,37793,Acid,X12b_D0_F_Acid,0,8.450000000000001,31,152_D0_F,71.83494,29.862120000000004,3.0429600000000003,11.00934,2.69358,2.20002,0.0023800000000000487,0,0.73995,0.82164,1.53147
152,X12bP152D0Q,F,6.35,14.8,NA,48.55017845530783,X12b,D0,Q,27692,Acid,X12b_D0_Q_Acid,0,8.450000000000001,31,152_D0_Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,X12bP152D14F,F,6.35,14.8,NA,48.55017845530783,X12b,D14,F,29439,Acid,X12b_D14_F_Acid,2.81291335664286,8.450000000000001,31,152_D14_F,82.17093,33.4743,2.88789,17.94162,3.2586000000000004,3.0971400000000004,1.000000000000445e-4,0,0.9741299999999999,0.57324,4.05516
152,X12bP152D21C,F,6.35,14.8,NA,48.55017845530783,X12b,D21,C,24931,Acid,X12b_D21_C_Acid,0,8.450000000000001,31,152_D21_C,77.26665,46.28772,0.64485,15.63084,0.85293,2.2397099999999996,0.40296,0,0.2718,0.32177999999999995,0.64983
152,X12bP152D21F,F,6.35,14.8,NA,48.55017845530783,X12b,D21,F,26711,Acid,X12b_D21_F_Acid,1.69897000433602,8.450000000000001,31,152_D21_F,90.13341000000001,35.461619999999996,3.0347399999999998,22.82169,3.4075800000000003,3.9333600000000004,0.09580000000000005,0,0.9847199999999999,2.59419,26.278859999999998
152,X12bP152D2F,F,6.35,14.8,NA,48.55017845530783,X12b,D2,F,33192,Acid,X12b_D2_F_Acid,2.60205999132796,8.450000000000001,31,152_D2_F,58.16931,22.10796,2.28132,12.186119999999999,2.90943,2.6745900000000002,0.0011200000000000654,0.68943,0.9354,0.76695,0
152,X12bP152D7F,F,6.35,14.8,NA,48.55017845530783,X12b,D7,F,28801,Acid,X12b_D7_F_Acid,2.30102999566398,8.450000000000001,31,152_D7_F,73.48986000000001,32.2455,4.32828,14.25159,6.2091,7.55349,1.0525900000000001,0,1.6488899999999997,0.7956,2.5911299999999997
160,X12bP160D0F,F,5.15,13.85,NA,44.969631425385394,X12b,D0,F,28879,Control,X12b_D0_F_Control,0,8.7,32,160_D0_F,37.47024,16.75104,2.68188,5.92302,3.19953,1.8971400000000003,0.4622199999999999,0,0.87564,0.9036299999999999,0.54354
160,X12bP160D0Q,F,5.15,13.85,NA,44.969631425385394,X12b,D0,Q,34216,Control,X12b_D0_Q_Control,0,8.7,32,160_D0_Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,X12bP160D14F,F,5.15,13.85,NA,44.969631425385394,X12b,D14,F,22061,Control,X12b_D14_F_Control,1.69897000433602,8.7,32,160_D14_F,70.77279,24.62334,3.23532,12.35679,5.2635,3.5780700000000003,0.6880299999999999,0,1.4283299999999999,1.0941299999999998,0
160,X12bP160D21C,F,5.15,13.85,NA,44.969631425385394,X12b,D21,C,30184,Control,X12b_D21_C_Control,2.41497334797082,8.7,32,160_D21_C,86.81627999999999,41.13531,0.55281,23.28138,0.55545,3.0015,1.2659699999999998,0.25751999999999997,0.17292,1.12953,0.29871000000000003
