pen,timepoint,treatment,group,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,total,lactate
52,0,2,52_0,64.7082,38.58168,0,18.13488,0.21549000000000001,4.76604,0.49983,0.46154999999999996,0.15642,0.6486000000000001,250.46799000000001,0.52176
53,0,8,53_0,84.91239,40.61526,0.4557,23.39727,0.42849000000000004,2.7568799999999998,0.65442,0.42315,0.1716,0.5726100000000001,277.8033,0.61626
57,0,2,57_0,72.66909000000001,29.899590000000003,0,15.590879999999999,0,2.9325900000000003,0.42090000000000005,0.21126,0.21287999999999999,3.79677,258.87513,6.852360000000001
59,0,8,59_0,68.94507,26.892359999999996,0.50817,24.39303,0.45716999999999997,3.5876099999999997,0.80586,0.29049,0.15318,0.4806,246.51354,0
63,0,2,63_0,68.56746000000001,31.91847,0.23334,17.07555,0.23343000000000003,4.62012,0.51102,0.37242,0,0.47387999999999997,254.59428,6.198779999999999
65,0,3,65_0,77.75237999999999,33.02436,0.25008,34.441410000000005,0.25626,5.35254,0.8340299999999999,0,0.15381,0.56481,272.62968,0
66,0,8,66_0,63.704519999999995,28.346489999999996,0.20061,16.00824,0.20343,2.79951,0.46245000000000003,0.22353,0.15156,0.39582,232.88165999999998,0.3855
68,0,1,68_0,88.53147,43.08144,0.5370600000000001,37.4481,0.5355300000000001,9.11646,1.10415,0.23358,0.25668,0.35838,307.31865,4.370699999999999
69,0,1,69_0,77.1474,42.58014,0.31872,27.51231,0.24477,8.35431,0.6398999999999999,0.33357,0.11652,0.49407,279.5724,0.91797
70,0,6,70_0,83.32965,49.22553,0.32517,21.04614,0.3234,3.36705,0.43794,0.29154,0.198,0.52776,281.13777,0.49878
71,0,3,71_0,79.9188,37.41894,0,21.846330000000002,0.16557,3.6519299999999997,0.55086,0.39963,0,0.32187,266.31996,0.46878000000000003
72,0,2,72_0,80.51091,48.667500000000004,0,31.464330000000004,0.22949999999999998,9.62766,0.59139,0.3462,0.16632000000000002,1.23024,294.33561000000003,1.5015599999999998
73,0,6,73_0,63.624269999999996,36.49761,0.97299,19.8516,1.00176,6.19137,0.64011,0.31640999999999997,0.28614,0.73551,253.00406999999998,0.82209
