pignum,time,treatment,set,formate,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,fumarate,lactate,total
178,2,Acid,2_Acid,1.73319,70.97016,31.32606,4.46838,16.96248,5.92062,6.383430000000001,1.9713700000000003,0,1.51209,0.63906,0,0.85596,142.74280000000002
211,2,Acid,2_Acid,2.60259,68.92725,30.624000000000002,4.31109,16.895880000000002,4.91637,5.68698,1.1394700000000002,0,1.28292,0.67266,0.30453,0.84294,138.20668
348,2,Acid,2_Acid,0,64.60308,40.69578,1.8059399999999999,13.91244,0.8224800000000001,7.70334,0.17401000000000005,0,0.30894,0.41196,0,0,130.43797
361,2,Acid,2_Acid,0,70.04157000000001,27.499589999999998,5.3232,19.37058,5.55204,7.34367,1.9005999999999998,0,1.5728399999999998,1.36965,0.32106,2.7574199999999998,143.05222
378,2,Acid,2_Acid,1.76064,69.85452000000001,51.2907,1.1118299999999999,17.38251,0.79749,12.155100000000001,0.6987399999999999,0,0.29652,0.8966399999999999,0,0.37341,156.6181
426,2,Acid,2_Acid,1.64838,80.07345000000001,27.507960000000004,4.09158,18.26835,4.45866,6.194789999999999,1.52989,0,1.21863,1.6594799999999998,0.18020999999999998,13.296180000000001,160.12756000000002
74,2,Zn+Cu,2_Zn+Cu,1.68057,67.10328,37.36782,4.74618,28.2684,7.1676,6.96459,1.85026,0,1.88877,1.47366,0,0.5511900000000001,159.06232
83,2,Zn+Cu,2_Zn+Cu,1.2246000000000001,38.16279,16.87269,2.70546,8.06598,2.2745100000000003,2.26659,0.15949000000000008,0,0.71358,0.47691,0.19716,0.33099,73.45075
219,2,Zn+Cu,2_Zn+Cu,0,47.08437,20.463720000000002,2.99427,12.506969999999999,3.66828,4.50129,0.26611,0,1.1541,1.67784,0,6.865259999999999,101.18221
265,2,Zn+Cu,2_Zn+Cu,1.8861,61.43726999999999,29.28705,3.9023699999999995,17.72109,4.66239,6.62373,1.83109,0,1.18254,0.27348,0.22341,0,129.03052
295,2,Zn+Cu,2_Zn+Cu,2.40492,58.42104,24.128190000000004,3.13053,12.381149999999998,2.82036,3.75096,0.5765199999999999,0,0.86928,0.60885,0.23615999999999998,0.9611099999999999,110.28907
326,2,Zn+Cu,2_Zn+Cu,1.6267200000000002,71.62389,35.59455,4.44363,25.0497,5.82564,6.37989,0.5697399999999999,0,1.35351,1.23102,0,0,153.69829000000001
422,2,Zn+Cu,2_Zn+Cu,2.81652,64.57647000000001,37.23408,2.92521,18.61161,2.06298,4.8394200000000005,0.3397900000000001,0,0.51693,0.7283999999999999,0.19838999999999998,1.1682299999999999,136.01803
432,2,Zn+Cu,2_Zn+Cu,0,71.48934,31.43382,3.97758,17.283389999999997,5.43234,3.56676,1.2454299999999998,0,1.41903,1.5536400000000001,0.24306,0.7397100000000001,138.3841
450,2,Zn+Cu,2_Zn+Cu,1.85976,73.2882,27.605639999999998,1.7650199999999998,16.46649,1.43862,4.4023200000000005,0.14125000000000004,0,0.34923,0.5724899999999999,0,5.66037,133.54939
472,2,Zn+Cu,2_Zn+Cu,1.6951800000000001,69.63474000000001,34.116029999999995,2.1945,20.87949,1.57818,5.7787500000000005,1.02541,0,0.44597999999999993,1.00128,0.24558000000000002,0.41571,139.01083
